사건번호,용도,LTV_광주,LTV_전북,시도,시군구,소재지,감정가,최저가,결과,낙찰가,낙찰율,매각일,분기,기간구분
인천 23계 2022-915(2),근린상가,근린상가,근린상가,인천,옹진군,"인천 옹진군 영흥면 내리 8-251 ,8-1 영흥어시장 1동 1층 105호","43,000,000","7,227,000",낙찰,"11,000,100",25.60%,2023-11-06,2023_4Q,3
인천 23계 2022-915(3),근린상가,근린상가,근린상가,인천,옹진군,"인천 옹진군 영흥면 내리 8-251 ,8-1 영흥어시장 1동 1층 120호","162,000,000","38,896,000",낙찰,"65,000,100",40.10%,2023-07-17,2023_3Q,3
인천 3계 2022-1055(2),전,전,전,인천,옹진군,인천 옹진군 영흥면 내리 849-4,"93,150,000","31,951,000",낙찰,"37,260,000",40.00%,2023-07-31,2023_3Q,3
인천 3계 2022-1055(5),답,답,답,인천,옹진군,인천 옹진군 영흥면 내리 1260,"251,720,000","86,340,000",낙찰,"120,343,000",47.80%,2023-07-31,2023_3Q,3
인천 12계 2022-1116(3),근린상가,근린상가,근린상가,인천,남동구,"인천 남동구 구월동 1130 ,1130-3,1130-4,1130-19,1130-21,1130-22,1130-23 2층 259호","282,000,000","138,180,000",낙찰,"165,000,000",58.50%,2023-12-07,2023_4Q,3
인천 12계 2022-1116(4),주상복합(주거),기타토지,기타토지,인천,남동구,인천 남동구 구월동 1129-8 구월룩소르 2층 204호,"214,000,000","149,800,000",낙찰,"151,200,000",70.70%,2023-11-07,2023_4Q,3
인천 14계 2022-1321,숙박시설,숙박시설,숙박시설,인천,중구,"인천 중구 운서동 2790-2 1,2,3,4,5층 1호","7,746,000,000","5,422,200,000",낙찰,"6,400,000,000",82.60%,2023-10-11,2023_4Q,3
인천 25계 2022-1352(1),오피스텔,오피스텔,오피스텔(업무용),인천,미추홀구,"인천 미추홀구 도화동 641-88 ,641-58,641-59 KW센트럴뷰 2층 201호","303,000,000","103,929,000",낙찰,"154,000,000",50.80%,2023-07-21,2023_3Q,3
인천 25계 2022-1352(2),오피스텔,오피스텔,오피스텔(업무용),인천,미추홀구,"인천 미추홀구 도화동 641-88 ,641-58,641-59 KW센트럴뷰 2층 202호","305,000,000","104,615,000",낙찰,"154,000,000",50.50%,2023-07-21,2023_3Q,3
인천 25계 2022-1352(3),오피스텔,오피스텔,오피스텔(업무용),인천,미추홀구,"인천 미추홀구 도화동 641-88 ,641-58,641-59 KW센트럴뷰 3층 301호","306,000,000","104,958,000",낙찰,"159,000,000",52.00%,2023-07-21,2023_3Q,3
