id,region_file,province,district,address
956391,경기_new,경기,시흥시,경기 시흥시 논곡동 131-1 내 보관
959181,전남광주_new,전남광주,광산구,전남광주 광산구 신창동 650-18
958534,경북_new,경북,청도군,경북 청도군 청도읍 송읍리 산47
958536,경북_new,경북,영천시,경북 영천시 청통면 송천리 산58
959187,전남광주_new,전남광주,북구,"전남광주 북구 용봉동 17-1 ,17-16,17-21,30-55,30-58,110-14,오치동 457-5 굿모닝타운 7층 701호"
959419,대구_new,대구,동구,대구 동구 봉무동 산40-13
959817,대전_new,대전,동구,대전 동구 판암동 470-7
566560,강원_new,강원,춘천시,강원 춘천시 신동면 팔미리 231
566743,강원_new,강원,횡성군,강원 횡성군 횡성읍 입석리 65-43
566958,강원_new,강원,평창군,강원 평창군 미탄면 마하리 156
969006,전남광주_new,전남광주,신안군,전남광주 신안군 임자면 진리 270-1
904733,강원_new,강원,동해시,강원 동해시 구미동 224
904743,강원_new,강원,동해시,"강원 동해시 용정동 260-2 ,260-6,261-11,263-1 범주 206동 5층 504호"
954780,경기_new,경기,부천시,경기 부천시 원미구 역곡동 26-3 뉴효성하이츠 2층 203호
955122,경기_new,경기,용인시,"경기 용인시 기흥구 상하동 217-13 ,220-1 에코타운 104동 4층 402호"
955167,경기_new,경기,수원시,경기 수원시 권선구 권선동 1010-4 파크앤시티타워2 10층 1009호
955297,경기_new,경기,수원시,경기 수원시 영통구 하동 1016 광교효성해링턴타워 A동 13층 1311호
955429,경기_new,경기,수원시,경기 수원시 권선구 오목천동 951 오목천동 푸르지오 1단지 105동 1층 104호
955465,경기_new,경기,수원시,경기 수원시 팔달구 매교동 167-72 포인트빌 3층 302호
955520,경기_new,경기,수원시,"경기 수원시 팔달구 교동 3-3 ,4-2 남문타워 5층 502호"
955723,경기_new,경기,용인시,경기 용인시 기흥구 영덕동 1123-1 내 보관(010-8461-5999)
955775,경기_new,경기,화성시,경기 화성시 효행구 봉담읍 상리 475-12 스카이물류(010-9005-9640)내 보관
955817,경기_new,경기,하남시,경기 하남시 풍산동 618 하남테크노밸리유1센터 1층 에이-140호
955818,경기_new,경기,하남시,경기 하남시 풍산동 618 하남테크노밸리유1센터 1층 에이-141호
955819,경기_new,경기,하남시,경기 하남시 풍산동 618 하남테크노밸리유1센터 1층 에이-142호
955951,경기_new,경기,하남시,경기 하남시 덕풍동 948 더샵하남에디피스 108동 13층 1303호
